,Unnamed: 0,commonstocksharesissued,assetscurrent,accountspayablecurrent,commonstockvalue,liabilities,liabilitiesandstockholdersequity,stockholdersequity,earningspersharebasic,netincomeloss,profitloss,costofgoodssold,filing_date,costsandexpenses,cash,notespayable,preferredstockvalue,depreciation,operatingexpenses,revenues,land,accountsreceivablenet,deferredrevenue,grossprofit,sharesissued,accruedincometaxes,sharesoutstanding,borrowedfunds,inventorygross,commercialpaper,dividends,commonstocknoparvalue,costofservices,debtcurrent,accruedinsurancecurrent,officerscompensation,intangibleassetscurrent,salariesandwages,interestanddebtexpense,convertibledebt,assetmanagementcosts,accountsreceivablegross,directoperatingcosts,operatingcycle,stock,price
73186,73186,,7715000000.0,,484000000.0,11157000000.0,16638000000.0,5211000000.0,2.21,226000000.0,2977000000.0,,2013-10-28,,,,,91000000.0,,4626000000.0,,,,,,,,,,,,1.6669999999999998,,642000000.0,,,,,,,,,,,PPG,90.445
73187,73187,,7710000000.0,,484000000.0,11556000000.0,15878000000.0,4063000000.0,2.37,341000000.0,72000000.0,,2013-07-29,,,,,90000000.0,,4626000000.0,,,,,,,,,,,,1.6669999999999998,,642000000.0,,,,,,,,,,,PPG,80.585
73188,73188,,7726000000.0,,484000000.0,11556000000.0,15878000000.0,4063000000.0,16.49,13000000.0,13000000.0,,2013-04-29,,,,,79000000.0,,4626000000.0,,,,,,,,,,,,1.6669999999999998,,642000000.0,,,,,,,,,,,PPG,73.51
73189,73189,,7715000000.0,,484000000.0,10936000000.0,15878000000.0,3249000000.0,1.42,339000000.0,1095000000.0,,2013-02-21,,,,,346000000.0,,1732000000.0,,,,,,,,,,,,1.6669999999999998,,600000000.0,,,,,,,,,,,PPG,65.04
73226,73226,5650000.0,,,779525000.0,389000.0,779914000.0,777956000.0,10.14,60347000.0,,,2013-11-08,,,,,,1303000.0,,,,,-13000.0,,,5300000.0,,,,,,,,,,,,,,,,,,PPLT,
73227,73227,6250000.0,,,806082000.0,13301000.0,819383000.0,777956000.0,-14.77,-86730000.0,,,2013-08-08,,,,,,1231000.0,,,,,54000.0,,,5300000.0,,,,,,,,,,,,,,,,,,PPLT,
73228,73228,5700000.0,,,881040000.0,437000.0,812494000.0,777956000.0,-0.03,-180000.0,,,2013-05-08,,,,,,1266000.0,,,,,130000.0,,,5300000.0,,,,,,,,,,,,,,,,,,PPLT,
73229,73229,5150000.0,,,770400000.0,390000.0,724360000.0,777956000.0,3.32,16563000.0,,,2013-02-28,,,,,,4589000.0,,,,,375000.0,,,5300000.0,,,,,,,,,,,,,,,,,,PPLT,
73258,73258,37818000.0,356000000.0,147000000.0,308000000.0,,6455000000.0,1000000.0,0.61,359000000.0,50000000.0,,2013-11-01,,,,,47000000.0,,-3000000.0,,,,,,,,,,481000000.0,237000000.0,,,,,,,,,,,,,,PPL,30.73
73259,73259,37818000.0,356000000.0,147000000.0,308000000.0,,6455000000.0,-4000000.0,0.46,359000000.0,30000000.0,,2013-08-02,,,,,47000000.0,,-3000000.0,,,,,,,,,,70000000.0,237000000.0,,,,,,,,,,,,,,PPL,31.93
73260,73260,37818000.0,356000000.0,147000000.0,308000000.0,,6455000000.0,1000000.0,0.93,359000000.0,38000000.0,,2013-05-03,,,,,47000000.0,,-3000000.0,,,,,,,,,,70000000.0,215000000.0,,,,,,,,,,,,,,PPL,32.73
73261,73261,37818000.0,1537000000.0,147000000.0,308000000.0,,6455000000.0,2656000000.0,0.78,57000000.0,61000000.0,,2013-02-28,,,,,47000000.0,,761000000.0,,,,,,,,,,400000000.0,215000000.0,,,,,,,,,,,,,,PPL,30.82
73299,73299,7172255.0,30890000.0,,7000.0,29588000.0,58554000.0,28966000.0,0.17,1009000.0,,16548000.0,2013-11-12,,,,,881000.0,3606000.0,280000.0,,,,5899000.0,7172255.0,3900000.0,,,,,,,,,,25000000.0,,,226000.0,,,,,,PPSI,
73300,73300,5907255.0,26777000.0,,6000.0,33118000.0,52873000.0,19755000.0,0.21,1262000.0,,16415000.0,2013-08-14,,,,,579000.0,3517000.0,818000.0,,,,5580000.0,7172255.0,3900000.0,,,,,,,,,,25000000.0,,,183000.0,,,,,,PPSI,
73301,73301,5907255.0,29312000.0,,6000.0,36779000.0,55603000.0,18824000.0,0.15,913000.0,,17470000.0,2013-05-15,,,,,288000.0,3582000.0,857000.0,,,,5081000.0,7172255.0,3900000.0,,,,,,,,,,25000000.0,,,185000.0,,,,,,PPSI,
73302,73302,5907255.0,27522000.0,,6000.0,34263000.0,52178000.0,-936000.0,0.51,913000.0,,65020000.0,2013-04-01,,,,,1251000.0,12993000.0,426000.0,,,,18940000.0,5907255.0,3900000.0,,,,,,,,,,25000000.0,,,933000.0,,,,,,PPSI,
73329,73329,37818000.0,356000000.0,147000000.0,308000000.0,,6455000000.0,1000000.0,0.61,359000000.0,50000000.0,,2013-11-01,,,,,47000000.0,,-3000000.0,,,,,,,,,,481000000.0,237000000.0,,,,,,,,,,,,,,PPX,
73330,73330,37818000.0,356000000.0,147000000.0,308000000.0,,6455000000.0,-4000000.0,0.46,359000000.0,30000000.0,,2013-08-02,,,,,47000000.0,,-3000000.0,,,,,,,,,,70000000.0,237000000.0,,,,,,,,,,,,,,PPX,
73331,73331,37818000.0,356000000.0,147000000.0,308000000.0,,6455000000.0,1000000.0,0.93,359000000.0,38000000.0,,2013-05-03,,,,,47000000.0,,-3000000.0,,,,,,,,,,70000000.0,215000000.0,,,,,,,,,,,,,,PPX,
73332,73332,37818000.0,1537000000.0,147000000.0,308000000.0,,6455000000.0,2656000000.0,0.78,57000000.0,61000000.0,,2013-02-28,,,,,47000000.0,,761000000.0,,,,,,,,,,400000000.0,215000000.0,,,,,,,,,,,,,,PPX,
73367,73367,49747000.0,,,,559856000.0,1547985000.0,498000.0,0.66,129537000.0,90367000.0,,2013-11-08,,23000000.0,,,,331101000.0,4934000.0,1269000.0,10486000.0,,,,740000.0,,,,,,,,,,,,,,255796000.0,,,,,PRAA,
73368,73368,16959000.0,,,,559856000.0,1288956000.0,507000.0,1.12,82199000.0,81931000.0,,2013-08-02,,23000000.0,,,,93289000.0,4543000.0,1269000.0,10421000.0,,,,3125000.0,,,,,,,,,,,,,,255796000.0,,,,,PRAA,
73369,73369,16959000.0,,,,621413000.0,1382739000.0,2851000.0,2.28,82199000.0,38517000.0,,2013-05-08,,23000000.0,,,,95725000.0,2630000.0,1269000.0,9234000.0,,,,22349000.0,,,,,,,,,,,,,,255796000.0,,,,,PRAA,
73370,73370,16909.0,,,,559856000.0,1288956000.0,-428000.0,5.89,82199000.0,73871000.0,,2013-02-28,,23000000.0,,,,376737000.0,18276000.0,1269000.0,10486000.0,,,,3125000.0,,,,,,,,,,,,,,255796000.0,,,,,PRAA,
73416,73416,62092164.0,,,621000.0,2605998000.0,4876578000.0,538625000.0,0.98,2389000.0,,,2013-11-06,,,,,1400000.0,69454000.0,175994000.0,,,,,,20000000.0,,,,,,,,,,,,,,,,,,,PRA,
73417,73417,62077867.0,,,621000.0,2605998000.0,5112045000.0,2164453000.0,2.64,1851000.0,,,2013-08-05,,,,,1400000.0,69454000.0,170805000.0,,,,,,20000000.0,,,,,,,,,,,,,,,,,,,PRA,
73418,73418,61867034.0,,,619000.0,2605998000.0,4876578000.0,-204408000.0,1.83,55645000.0,1975000.0,,2013-05-06,,,,,1400000.0,69454000.0,194974000.0,,,,,,19000000.0,,,,,,,,,,,,,,,,,,,PRA,
73419,73419,69102988.0,,,346000.0,146888000.0,2417468000.0,2164453000.0,0.72,275470000.0,1975000.0,,2013-02-20,,,,,4741000.0,69454000.0,6102000.0,,,,,,19000000.0,,,,,,,,,,,,,,,,,,,PRA,
73451,73451,8844000.0,56952000.0,1501000.0,88000.0,30557000.0,72850000.0,58553000.0,-0.07,-588000.0,,,2013-11-14,,,,,770000.0,5130000.0,,,,,4287000.0,,,,,,,1372000.0,,,,,,,,,,,608000.0,,,PRCP,
73452,73452,8619000.0,58544000.0,2561000.0,86000.0,30557000.0,74145000.0,17461000.0,0.73,6210000.0,,,2013-09-27,,,,,770000.0,21254000.0,,,,,28120000.0,,,,,,,3416000.0,,,,,,,,,,,608000.0,,,PRCP,
73453,73453,8556000.0,49701000.0,1539000.0,86000.0,30557000.0,66082000.0,53460000.0,0.16,1367000.0,,,2013-05-15,,,,,770000.0,5049000.0,,,,,7345000.0,,,,,,,3416000.0,,,,,,,,,,,608000.0,,,PRCP,
73454,73454,8519000.0,47894000.0,1709000.0,85000.0,30557000.0,64591000.0,52225000.0,0.02,184000.0,,,2013-02-14,,,,,770000.0,5049000.0,,,,,5199000.0,,,,,,,3416000.0,,,,,,,,,,,608000.0,,,PRCP,
73480,73480,40231099.0,80841000.0,6205000.0,40000.0,53527000.0,304118000.0,40000.0,0.17,15919000.0,,,2013-11-07,,,,,612000.0,,96758000.0,,,,89975000.0,,,,,,,,,,,,,,,,,,,,,PRFT,
73481,73481,39024337.0,80841000.0,7959000.0,39000.0,32781000.0,306001000.0,-74145000.0,0.23,3603000.0,,,2013-08-01,,,,,719000.0,,81796000.0,,,,49404000.0,,,,,,,,,,,,,,,,,,,,,PRFT,
73482,73482,39142277.0,82050000.0,6521000.0,39000.0,29639000.0,269251000.0,-64644000.0,0.14,4123000.0,,,2013-05-09,,,,,683000.0,,84935000.0,,,,25514000.0,,,,,,,,,,,,,,,,,,,,,PRFT,
73483,73483,39024337.0,80841000.0,7959000.0,39000.0,32781000.0,267194000.0,-62970000.0,0.14,4376000.0,,,2013-03-07,,,,,2251000.0,,83128000.0,,,,25772000.0,,,,,,,,,,,,,,,,,,,,,PRFT,
73510,73510,23000000.0,131.0,306700000.0,131.0,-1401800000.0,13134086.0,2331400000.0,-0.87,-190670.0,-300000.0,2891400000.0,2013-11-04,,,,,77900000.0,4007.0,800000.0,36100000.0,,,307200000.0,40000.0,,515700000.0,,,,,,,,,,,,,,,,,,PRGO,143.73
73532,73532,52311645.0,526818000.0,10477000.0,515000.0,,686590000.0,519355000.0,0.46,11419000.0,,,2013-10-09,,,,,8402000.0,155188000.0,296721000.0,,,100000.0,64883000.0,,,74900.0,,,,6067000.0,,7974000.0,,,,,,,,,,,,PRGS,
